Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
300 Prepare for Glory (Original 2008),Original,2008,"History, Movie",1,-,-,-,FP,Brad Bambara,1.0,2023-09-09,300 Prepare for Glory
A Christmas Carol Pinball (Original 2020),Original,2020,"Licensed Theme, Movie, Christmas",4,-,-,SS,VPX,"Stevegooner1234, Xenonph, Wildman, Lizard",06142023,2023-06-15,A Christmas Carol Pinball
Ace Ventura - Pet Detective (Original 2019),Original,2019,"Movie, Comedy",4,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2019-08-25,Ace Ventura - Pet Detective
Akira (Original 2021),Original,2021,"Anime, Movie",-,-,-,SS,-,"7he S4ge, 32assassin, Atros",1.0,2021-11-30,Akira
Alfred Hitchcock's Psycho (Original 2019),Original,2019,"Horror, Movie",4,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2019-08-11,Alfred Hitchcock's Psycho
Alien 2 (Original 2023),Original,2023,"Movie, Science Fiction, Horror",-,-,-,SS,VPX,"Bombaj344, BurtMacklin, HauntFreaks, JPSalas, Rothbauerw, Borgdog, Ghostfreaks",1.0.0,2023-10-03,Alien 2
Alien Covenant (Original 2023),Original,2023,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,SS,VPX,"Bombaj344, Ghostfreaks, BurtMacklin, BorgDog, HauntFreaks, JPSalas, Rothbauerw",1.1,2023-04-01,Alien Covenant
Alien Isolation Pinball (Zen Studios 2016),Zen Studios,2016,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Alien Isolation Pinball
Alien Nostromo (Original 2022),Original,2022,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,-,VPX,"Gh0stbust3r, Delta23, JPSalas",4.0,2022-03-07,Alien Nostromo
Alien Resurrection (Original 2022),Original,2022,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,SS,VPX,"Ivantba, TonyTheWrench",1.0,2022-08-22,Alien Resurrection
Alien Trilogy (Original 2019),Original,2019,"Licensed Theme, Horror, Science Fiction, Movie",-,-,-,SS,VPX,"Ivantba, Lodger",1.0,2019-02-12,Alien Trilogy
Alien vs Predator Pinball (Zen Studios 2016),Zen Studios,2016,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Alien vs Predator Pinball
Aliens (Original 2020),Original,2020,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,SS,VPX,"Solters, Bombaj344, Delta23, Rascal",1.0,2022-07-19,Aliens
Aliens Legacy (Original 2005),Original,2005,"Movie, Licensed Theme, Science Fiction",-,-,-,-,FP,"TerryRed, Steve Paradis (Polygame), SLAMT1LT, Paolo (Wild), David Eisner (Pinballwzd)",1.1,2023-12-09,Aliens Legacy
Aliens Pinball (Zen Studios 2016),Zen Studios,2016,"Licensed Theme, Horror, Science Fiction, Movie",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Aliens Pinball
Annabelle (Original 2020),Original,2020,"Movie, Horror, Supernatural",4,-,-,SS,VPX,"Davor Lipovac, JPSalas",1.0,2020-11-15,Annabelle
Apollo 13 (Sega 1995),Sega,1995,"Outer Space, Movie",6,3592,-,SS,VPX,"UnclePaulie, Retro27, Balater, Herweh, Francisco666, Oqqsan, Tomate, Skitso, Sheltemke, Sixtoe, Apophis, 32assassin, VPW Team",2.1.1,2023-02-26,Apollo 13
Army of the Dead (Original 2021),Original,2021,"Horror, Movie, Supernatural",-,-,-,EM,VPX,"Balutito, JPSalas",1.0.0,2021-12-04,Army of the Dead
Austin Powers (Stern 2001),Stern,2001,"Licensed Theme, Movie",4,109,-,SS,VPX,"Bigus1, Javier1515, Destruk, TAB",3.0,2023-05-04,Austin Powers
Avengers (Original 2020),Original,2020,"Superheroes, Comics, Movie",-,-,-,-,FP,Stargazer16,0.28,2023-09-12,Avengers
Back to the Future Pinball (Zen Studios 2017),Zen Studios,2017,"Licensed Theme, Science Fiction, Time Travel, Movie",4,-,-,-,FX,"Zen Studios, Peter Grafl",-,2022-04-02,Back to the Future Pinball
Barbarella (Talleres del Llobregat (Automaticos) 1972),Talleres del Llobregat (Automaticos),1972,"Fantasy, Outer Space, Science Fiction, Movie",1,5809,-,EM,VPX,"Teisen, Loserman76",1.0,2023-07-27,Barbarella
Batman (Data East 1991),Data East,1991,"Comics, Licensed Theme, Superheroes, Movie",4,195,-,SS,VPX,"Bigus1, Javier1515",2.0,2022-12-03,Batman
Batman The Dark Knight (Stern 2008),Stern,2008,"Licensed Theme, Movie, Superheroes, Comics",4,5307,-,SS,VPX,"Bord, Apophis, Sixtoe, Iaakki, Wylte, Retro27, RiK, PinstratsDan, Ninuzzu, Tom Tower",1.0.7,2022-09-23,Batman The Dark Knight
Beavis And Butthead Pinball Stupidity (Original 2023),Original,2023,"TV Show, Movie",-,-,-,SS,VPX,Chug,1.2,2023-02-19,Beavis And Butthead Pinball Stupidity
Beetlejuice (Original 2021),Original,2021,"Movie, Horror, Supernatural",4,2396,-,SS,VPX,"Sebastiendelf, AgentEighty6, Balutito",1.0.0,2021-11-12,Beetlejuice
Beverly Hills Cop (Original 2019),Original,2019,"Licensed Theme, Movie, Police",4,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2019-12-10,Beverly Hills Cop
Big Trouble in Little China (Original 2020),Original,2020,"Movie, Action, Adventure, Comedy",4,-,-,SS,VPX,"Balutito, Daeron61, Shaggysrsg, TimHobbs, Iron Pedro, JPSalas, Team Tuga, HauntFreaks, Joe Picasso",1.5,2023-11-07,Big Trouble in Little China
Blade Runner (Original 2023),Original,2023,"Movie, Science-Fiction",-,-,-,SS,FP,"TerryRed, SLAMT1LT",1.1,2023-12-09,Blade Runner
